言語種別,発行・発表の年月,形態種別,査読,標題,執筆形態,掲載誌名,掲載区分,出版社・発行元,著者・共著者
英語,2026/01,学術論文,査読あり,Intersection Traffic Control with Individual Virtual Wall and Deceleration Avoidance in a Dynamic Traffic Flow Environment,共著,Artificial Life and Robotics,国外,Springer,"Yuki Itoh, Tomohiro Harada, Johei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori"
英語,2025/11,国際会議論文,査読あり,Object Pose Estimation Method in Close-up Viewpoints for Robots: Proposal and Validation,共著,Proceedings of the 2025 International Workshop on Smart Info-Media Systems in Asia (SISA2025),国外,IEICE,"Hikaru Chino, and Johei Matsuoka"
英語,2025/11,国際会議論文,査読あり,Proposal for Information Sharing Mechanism Using S-expressions for AI-based Robot Control Architecture,共著,Proceedings of the 2025 International Workshop on Smart Info-Media Systems in Asia (SISA2025),国外,IEICE,"Wataru Mita, Kazuya Tago, and Johei Matsuoka"
英語,2025/10,学術論文,査読あり,Investigating vehicle size input strategies in deep reinforcement learning for cooperative autonomous driving,共著,Artificial Life and Robotics,国外,Springer,"Akito Takenaka, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori & Johei Matuoka"
英語,2025/10,国際会議論文,査読あり,Microcrack detection with low-data: A patch-based approach,共著,Ceramic Matrix Composites III,国外,Engineering Conferences International,"Kodai Abe, and Johei Matsuoka"
英語,2025/10,学術論文,査読あり,Reducing collision counts at intersections using reinforcement learning‑based adaptive speed control,共著,Artificial Life and Robotics,国外,Springer,"Kaito Kumagae, Tenta Suzuki, Mao Tobisawa, Tomohiro Harada, Johei Matsuoka, Yuki Itoh, Clive Jancen Kawaoto, Kiyohiko Hattori"
英語,2025/09,国際会議論文,査読あり,Efficient and Safe Bidirectional Traffic Control in Lane-less Environments Using Global Reward and Curriculum Learning,共著,Proceedings of the 9th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2025 (SWARM2025),国外,SWARM-SYSTEMS,"Mao Tobisawa, Tenta Suzuki, Clive Jancen Kawaoto,Yuki Itoh, Kaito Kumagae, Tomohiro Harada, Johei Matsuoka, and Kiyohiko Hattori ."
英語,2025/09,国際会議論文,査読あり,Improving DRL Policies via Explainable Action Correction Based on Accident Cause Analysis,共著,Proceedings of the 9th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2025 (SWARM2025),国外,SWARM-SYSTEMS,"Tenta Suzuki, Mao Tobisawa, Clive Jancen Kawaoto, Kaito Kumagae, Yuki Itoh, Kenji Matsuda, Junya Hoshino, Tomohiro Harada, Johei Matsuoka and Kiyohiko Hattori."
英語,2025/09,国際会議論文,査読あり,Pheromone-Reward Reinforcement Learning for Trajectory Design of Multi-Agent: Evaluation Using Lane-less Self Driving as a Case Study,共著,Proceedings of the 9th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2025 (SWARM2025),国外,SWARM-SYSTEMS,"Tenta Suzuki, Yuta Tobe, Tomohiro Harada, Johei Matsuoka and Kiyohiko Hattori"
英語,2025/09,国際会議論文,査読あり,Probabilistic Path Selection Method in Planetary Exploration: Improving Terrain Adaptability through Tethered Cooperative Rover Systems,共著,Proceedings of the 9th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2025 (SWARM2025),国外,SWARM-SYSTEMS,"Clive Jancen Kawaoto, Tenta Suzuki, Mao Tobisawa, Yuki Itoh, Kaito Kumagae, Johei Matsuoka, and Kiyohiko Hattori."
英語,2025/07,学術論文,査読あり,Exploration of deep reinforcement learning method for cooperative control of connected automated vehicles at a roundabout,共著,Artificial Life and Robotics,国外,Springer,"Reo Nakaya, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori, Johei Matsuoka"
英語,2025/05,学術論文,査読あり,Cooperative autonomous vehicle control with deep reinforcement learning in lane-free roundabouts and its adaptability to various geometries,共著,"SICE Journal of Control, Measurement, and System Integration",国外,Taylor & Francis,"Reo Nakaya,Tomohiro Harada,Yukiya Miura,Kiyohiko Hattori &Johei Matsuoka"
英語,2025/03,学術論文,査読あり,Reinforcement learning‑based autonomous driving control for efficient road utilization in lane‑less environments,共著,Artificial Life and Robotics,国外,Springer,"Mao Tobisawa, Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Junya Hoshino, Yuki Itoh, Kaito Kumagae, Johei Matsuoka, Kiyohiko Hattori"
英語,2025/01,国際会議論文,査読あり,Deep Reinforcement Learning Method Considering Vehicle Sizes for Cooperative Autonomous Driving,共著,Proceedings of The 30th International Symposium on Artificial Life and Robotics,国外,"国際人工生命およびロボティクス学会（The International Society of Artificial Life and Robotics, ISAROB）","Akito Takenaka, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori, Johei Matuoka"
英語,2025/01,国際会議論文,査読あり,Optimization of Vehicle Collision Avoidance Behavior by Variable Directional Sensor Control Using Reinforcement Learning,共著,Proceedings of The 30th International Symposium on Artificial Life and Robotics,国外,"国際人工生命およびロボティクス学会（The International Society of Artificial Life and Robotics, ISAROB）","Kaito Kumagae, Mao Tobisawa, Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Junya Hoshino, Yuki Itoh, Johei Matsuoka, Kiyohiko Hattori"
英語,2025/01,国際会議論文,査読あり,Reinforcement Learning-based Autonomous Driving Control for Efficient Road Utilization in Lane-less Environments,共著,Proceedings of The 30th International Symposium on Artificial Life and Robotics,国外,"国際人工生命およびロボティクス学会（The International Society of Artificial Life and Robotics, ISAROB）","Mao Tobisawa, Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Junya Hoshino, Yuki Itoh, Kaito Kumagae, Johei Matsuoka, Kiyohiko Hattori"
英語,2025/01,国際会議論文,査読あり,Supervised Collaborative Learning System Using a Wire-Connected Two-Wheeled Rover for Planetary Exploration,共著,Proceedings of The 30th International Symposium on Artificial Life and Robotics,国外,"国際人工生命およびロボティクス学会（The International Society of Artificial Life and Robotics, ISAROB）","Clive Jancen Kawaoto, Tenta Suzuki, Mao Tobisawa, Junya Hoshino, Yuki Itoh, Kaito Kumagae, Kenji Matsuda, Johei Matsuoka, Kiyohiko Hattori"
英語,2024/10,国際会議論文,,Automated Vehicle Approach to Traffic Control Using Reinforcement Learning - Influence of Map Information on Intersection Passage,共著,"Swarm Intelligence: 14th International Conference, ANTS 2024, Konstanz, Germany, October 9–11, 2024, Proceedings",国外,Springer,"Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Johei Matsuoka, Mao Tobisawa, Jyunya Hoshino, Yuki Itoh, Kaito Kumagae and Kiyohiko Hattori"
英語,2024/10,国際会議論文,査読あり,Automatic Space Design Adapted to Swarm Robot Movement,共著,"Swarm Intelligence: 14th International Conference, ANTS 2024, Konstanz, Germany, October 9–11, 2024, Proceedings",国外,Springer,"Junya Hoshino, Yuki Itoh, Tenta Suzuki, Kenji Matsuda, Kaito Kumagae, Mao Tobisawa, Tomohiro Harada, Johei Matsuoka and Kiyohiko Hattori"
英語,2024/09,国際会議論文,査読あり,A Study of Signal-less Intersection Control by Mutual Cooperative Learning between Automated Vehicles and Intersection Control Agent,共著,Proceedings of the 8th International Symposium on Swarm Behavior and Bio-Inspired Robotics (SWARM2024),国外,SWARM-SYSTEMS,"Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Johei Matsuoka, Jyunya Hoshino, Yuki Itoh, Kaito Kumagae, Toshinori Kagawa, Kiyohiko Hattori"
